text,merek,jenis_produk,kandungan,manfaat
xpeditions mcs ss jerawat,xpeditions mcs ss,,,jerawat
wardah bright creamy foam oil control,wardah,creamy foam,,"bright, oil control"
ovale facial lotion lemon,ovale,facial lotion,lemon,
dojako anti - aging cream glowing serum anti kerut facial foam,dojako,"serum, facial foam, cream",,"glowing, anti - aging, anti kerut"
ovale facial lotion white bengkoang,ovale,facial lotion,bengkoang,white
cream glowing flek hitam dojako,dojako,cream,,glowing flek hitam
pixy white serum mist,pixy,serum mist,,white
olay perawatan kulit anti - aging wajah moisturizer cleanser,olay,moisturizer cleanser,,perawatan kulit anti - aging wajah
revox b77 glycolic acid serum peeling exfoliating wajah,revox b77,serum,glycolic acid,peeling exfoliating wajah
olay anti ageing serum,olay,serum,,anti ageing
olay regenerist day cream serum antiaging,olay,cream serum,,"day, antiaging, regenerist"
olay regenerist cream pelembab pagi malam anti - aging,olay,cream pelembab,,"regenerist, pagi malam anti - aging"
olay regenerist mircro cream night,olay,cream,,"regenerist mircro, night"
olay white radiance night cream,olay,cream,,white radiance night
argan oil essential,,essential,argan oil,
you vitamin orange,you,,vitamin orange,
parasol face sunscreen cream spf 33,parasol,face sunscreen cream,,spf 33
olay revitalising night cream antiaging niacinamide,olay,cream,niacinamide,"revitalising night, antiaging"
olay moisturising cream spf15 anti - aging,olay,cream,,"moisturising, spf15 anti - aging"
parasol cooling mist sun spray tabir surya spf25 pa,parasol,mist sun spray tabir surya,,"spf25 pa, cooling"
peau jeune serum dry skin daily hydrating shot untuk kulit kering wajah essence,peau jeune,"serum, essence",,dry skin daily hydrating shot untuk kulit kering wajah
parasol sunscreen lotion skin whitener spf 45 pa,parasol,sunscreen lotion,,skin whitener spf 45 pa
olay regenerist moisturizer uv cream,olay,"moisturizer, cream",,"uv, regenerist"
melanox face scrub,melanox,face scrub,,
vitamin c serum wajah ferulic acid untuk mencerahkan melindungi kulit kusam,,serum wajah,"ferulic acid, vitamin c",untuk mencerahkan melindungi kulit kusam
melanox facial cleansing gel cleanser wajah lemon papaya oat,melanox,gel cleanser wajah,lemon papaya oat,facial cleansing
olay perawatan kulit sensitif,olay,,,perawatan kulit sensitif
olay regenerist collagen peptide moisturizer,olay,moisturizer,collagen peptide,regenerist
olay regenerist perawatan kulit anti - aging serum cream pagi malam,olay,serum cream,,"pagi malam, regenerist perawatan kulit anti - aging"
parasol moisturizing spray,parasol,spray,,moisturizing
melanox cleansing gel toner uv protection perawatan mencerahkan wajah,melanox,"gel, toner",,"uv protection perawatan mencerahkan wajah, cleansing"
minimalist oat cleanser face wash sabun cuci wajah hyaluronic acid untuk kulit sensitif,minimalist,cleanser face wash sabun cuci wajah,"hyaluronic acid, oat",untuk kulit sensitif
sun flower sunflower oil minyak biji bunga matahari,sun flower,,sunflower oil minyak biji bunga matahari,
olay perawatan wajah anti - aging,olay,,,"anti - aging, perawatan wajah"
reglow,reglow,,,
niacinamide serum wajah untuk mengurangi minyak noda ha hyaluronic,,serum wajah,"niacinamide, ha, hyaluronic",untuk mengurangi minyak noda
olay retinol serum wajah anti - aging,olay,serum wajah,retinol,anti - aging
olay luminous niacinamide vitamin c cream pelembab brightening,olay,cream pelembab,niacinamide vitamin c,"luminous, brightening"
olay regenerist cream pelembab pagi sabun wajah anti - aging,olay,"sabun wajah, cream pelembab",,"anti - aging, pagi, regenerist"
olay niacinamide antiaging cream serum,olay,cream serum,niacinamide,antiaging
minimalist salicylic acid cleanser anti jerawat face wash sabun cuci wajah untuk kulit berminyak,minimalist,"face wash, sabun cuci wajah, cleanser",salicylic acid,"anti jerawat, untuk kulit berminyak"
olay antiaging niacinamide day cream serum,olay,cream serum,niacinamide,"day, antiaging"
pixy uv sunscreen hydra cream spf50 pa,pixy,"cream, sunscreen",,"spf50 pa, uv, hydra"
olay regenerist sabun cuci wajah pelembab retinol moisturizer antiaging,olay,"sabun cuci wajah pelembab, moisturizer",retinol,"antiaging, regenerist"
peau jeune toner daily purifying skin booster untuk kulit jerawat berminyak wajah mencerahkan,peau jeune,toner,,daily purifying skin booster untuk kulit jerawat berminyak wajah mencerahkan
parasol sunscreen cream,parasol,sunscreen cream,,
olay white radiance brightening niacinamide essence,olay,essence,niacinamide,white radiance brightening
olay regenerist micro cream,olay,cream,,regenerist micro
pixy vitamin infused protecting mist,pixy,mist,vitamin,infused protecting
astalift white emulsion,astalift,emulsion,,white
derma xp txa white serum mencerahkan kulit wajah,derma xp txa,serum,,"white, mencerahkan kulit wajah"
olay luminous niacinamide brightening serum,olay,serum,niacinamide,"luminous, brightening"
ceramide madecassoside barrier repair moisturizing cream moisturizer pelembab wajah ursolic acid untuk kulit berminyak pagi malam hyaluronic,,cream moisturizer pelembab wajah,"ceramide madecassoside, hyaluronic, ursolic acid","pagi malam, barrier repair moisturizing, untuk kulit berminyak"
olay cream pelembab retinol 24 anti - aging,olay,cream pelembab,retinol,24 anti - aging
pixy white facial wash,pixy,facial wash,,white
melanox double power eyes perawatan serum cream mata,melanox,serum cream,,"double power eyes perawatan, mata"
olay regenerist retinol niacinamide moisturizer cream pelembab malam anti - aging,olay,moisturizer cream pelembab,"retinol, niacinamide","malam anti - aging, regenerist"
olay moisturizer cream pencerah pelembab wajah,olay,"moisturizer cream, pelembab wajah",,pencerah
niacinamide serum zinc untuk mengurangi minyak noda,,serum,"niacinamide, zinc",untuk mengurangi minyak noda
revox b77 resveratrol ferulic acid serum,revox b77 resveratrol,serum,ferulic acid,
olay regenerist moisturizer wajah micro sculpting day cream retinol 24 night anti - aging,olay,"cream, moisturizer wajah",retinol,"micro sculpting day, regenerist, 24 night anti - aging"
olay luminous intensive white cream pencerah,olay,cream,,"pencerah, luminous intensive white"
olay luminous intensive lotion,olay,lotion,,luminous intensive
olay foaming face wash cleanser,olay,foaming face wash cleanser,,
pixy white aqua brightening moisturizer,pixy,moisturizer,,white aqua brightening
olay anti ageing night cream perawatan pelembab wajah,olay,cream,,"anti ageing night, perawatan pelembab wajah"
olay retinol perawatan wajah cream moisturizer malam cleanser regenerist anti - aging,olay,"cream moisturizer, cleanser",retinol,"malam, regenerist anti - aging, perawatan wajah"
minimalist marula oil moisturizer hyaluronic acid vitamin e kulit kering,minimalist,moisturizer,"hyaluronic acid vitamin e, marula oil",kulit kering
peau jeune toner hydrating skin booster untuk kulit kering,peau jeune,toner,,hydrating skin booster untuk kulit kering
minimalist vitamin c serum wajah untuk pencerah kulit brightening kusam mencerahkan,minimalist,serum wajah,vitamin c,untuk pencerah kulit brightening kusam mencerahkan
olay perawatan malam,olay,,,perawatan malam
revox retinol age control jerawat prone skin safe,revox,,retinol,age control jerawat prone skin safe
luckymen purifying deep facial wash membantu bersihkan kotoran menghilangkan jerawat,luckymen,facial wash,,"membantu bersihkan kotoran menghilangkan jerawat, purifying deep"
melanox facial cleansing gel membersihkan mencerahkan wajah extract lemon papaya oat face cleanser,melanox,"face cleanser, facial cleansing gel",extract lemon papaya oat,membersihkan mencerahkan wajah
parasol sunscreen spray cooling mist moisturing,parasol,"sunscreen spray, mist",,"moisturing, cooling"
astalift aquarysta astaxanthin anti - aging serum booster moisturizer,astalift,serum booster moisturizer,"aquarysta, astaxanthin",anti - aging
olay regenerist mircro serum perawatan wajah,olay,serum,,"regenerist mircro, perawatan wajah"
revox b77 lactic acid peeling solution serum exfoliating mencerahkan wajah,revox b77,serum,lactic acid,"exfoliating mencerahkan wajah, peeling solution"
revox daily sun shield sunscreen spf50,revox,sunscreen,,"spf50, daily sun shield"
labore sensitive barrier revive cream,labore,cream,,"barrier revive, sensitive"
olay day cream spf,olay,cream,,"day, spf"
olay regenerist pelembab wajah anti - aging,olay,pelembab wajah,,"anti - aging, regenerist"
olay sabun wajah,olay,sabun wajah,,
melanox toner melembabkan mencerahkan wajah extract lemon oat papaya,melanox,toner,extract lemon oat papaya,melembabkan mencerahkan wajah
olay regenerist sabun cuci wajah pelembab retinol moisturizer anti - aging,olay,"sabun cuci wajah pelembab, moisturizer",retinol,"anti - aging, regenerist"
parasol lotion tabir surya spf45 pa,parasol,lotion tabir surya,,spf45 pa
olay day cream,olay,cream,,day
olay perawatan wajah noda hitam kerutan anti - aging day night cream,olay,cream,,perawatan wajah noda hitam kerutan anti - aging day night
olay day cream spf,olay,cream,,"day, spf"
pixy uv sunscreen gel spf50 pa,pixy,"gel, sunscreen",,"spf50 pa, uv"
luckymen purifying facial wash ampuh bersihkan kotoran kurangi minyak berlebih cegah jerawat,luckymen,facial wash,,"purifying, ampuh bersihkan kotoran kurangi minyak berlebih cegah jerawat"
olay antiaging cream niacinamide,olay,cream,niacinamide,antiaging
olay regenerist retinol24 night serum revitalising cream cleanser sabun wajah antiaging,olay,"serum, cream cleanser sabun wajah",retinol24,"antiaging, revitalising, regenerist, night"
olay perawatan wajah regenerist pelembab advanced anti - aging cream pagi malam serum,olay,"serum, cream, pelembab",,"advanced anti - aging, pagi malam, perawatan wajah regenerist"
formula brave glowing membantu bersihkan kotoran,formula,,,"brave glowing, membantu bersihkan kotoran"
aha bha exfoliator hyaluronic acid untuk warna tekstur kulit wajah merata essence vitamin,,essence,"hyaluronic acid, aha bha, vitamin","exfoliator, untuk warna tekstur kulit wajah merata"
olay sabun wajah,olay,sabun wajah,,
minimalist peptide serum anti - aging collagen boosting,minimalist,serum,"collagen, peptide","anti - aging, boosting"
melanox white cream perawatan mencerahkan,melanox,cream,,"white, perawatan mencerahkan"
olay regenerist collagen peptide serum,olay,serum,collagen peptide,regenerist
astalift white essence serum brightening astaxanthin,astalift,essence serum,,"white, brightening, astaxanthin"
olay pencerah white,olay,,,pencerah white
olay age protect cream pelembab,olay,cream pelembab,,age protect
pixy vitamin infused brightening mist,pixy,mist,vitamin,infused brightening
olay perawatan wajah retinol serum pelembab malam cream moisturizer anti - aging,olay,"cream moisturizer, serum pelembab",retinol,"malam, anti - aging, perawatan wajah"
parasol moisturizing spray aloe vera vitamin c,parasol,spray,aloe vera vitamin c,moisturizing
parasol moisturizing spray soothing relaxing aloe vera menenangkan kulit terbakar matahari sunburn,parasol,spray,aloe vera,"menenangkan kulit terbakar matahari sunburn, moisturizing, soothing relaxing"
carmed essence moisturizing lotion pelembab kulit kering moisturizer,carmed,"moisturizer, essence, lotion",,"pelembab kulit kering, moisturizing"
minimalist salicylic acid serum wajah untuk basmi jerawat komedo minyak berlebih hyaluronic,minimalist,serum wajah,"hyaluronic, salicylic acid",untuk basmi jerawat komedo minyak berlebih
minimalist granactive retinoid moisturizer pelembab wajah cream malam anti - aging hyaluronic acid untuk menyamarkan garis halus kerutan vitamin,minimalist,moisturizer pelembab wajah cream,"hyaluronic acid, granactive retinoid, vitamin","malam anti - aging, untuk menyamarkan garis halus kerutan"
olay regenerist antiaging niacinamide serum,olay,serum,niacinamide,"antiaging, regenerist"
olay cream perawatan wajah spf,olay,cream,,"perawatan wajah, spf"
olay perawatan kulit normal,olay,,,perawatan kulit normal
guasha jade facial wajah kering,guasha jade,,,facial wajah kering
olay antiaging niacinamide cleanser day night cream,olay,"cream, cleanser",niacinamide,"antiaging, day night"
lanore cleansing gel white antiaging serum,lanore,"serum, cleansing gel",,white antiaging
olay regenerist revitalising cleanser wajah,olay,cleanser wajah,,regenerist revitalising
acnemed facial wash oily skin cleanser membersihkan kulit wajah berminyak,acnemed,"facial wash, cleanser",,"membersihkan kulit, oily skin, wajah berminyak"
olay regenerist revitalising hydration uv cream,olay,cream,,regenerist revitalising hydration uv
rosehip cold pressed,rosehip,,,cold pressed
olay pelembab anti - aging,olay,pelembab,,anti - aging
pixy beauty protecting mist,pixy,mist,,beauty protecting
olay regenerist retinol 24 night serum antiaging,olay,serum,retinol,"antiaging, 24 night, regenerist"
olay luminous niacinamide vitamin c serum wajah,olay,serum wajah,niacinamide vitamin c,luminous
parasol cooling mist sun spray spf 25 pa,parasol,mist sun spray,,"spf 25 pa, cooling"
olay pencerah white radiance,olay,,,pencerah white radiance
olay day cream spf,olay,cream,,"day, spf"
melanox serum cream mencerahkan wajah,melanox,serum cream,,mencerahkan wajah
lunamer foam facial wash cleanser anti jerawat sabun cuci wajah,lunamer,"foam facial wash cleanser, sabun cuci wajah",,anti jerawat
olay luminous intensive lotion,olay,lotion,,luminous intensive
kaleido patch,kaleido,patch,,
olay regenerist pelembab pagi retinol serum moisturizer anti - aging,olay,"serum moisturizer, pelembab",retinol,"anti - aging, pagi, regenerist"
olay anti - aging,olay,,,anti - aging
parasol sunscreen lotion spf 30 pa vitamin e aloe vera,parasol,sunscreen lotion,vitamin e aloe vera,spf 30 pa
lanore white anti - aging serum mencerahkan glutathione perawatan antiaging,lanore,serum,glutathione,"perawatan antiaging, white anti - aging, mencerahkan"
sabun spirulina facial soap wajah,,"sabun, facial soap wajah",spirulina,
olay antiaging niacinamide day cream,olay,cream,niacinamide,"day, antiaging"
olay regenerist micro cream,olay,cream,,regenerist micro
olay foaming cleanser,olay,foaming cleanser,,
acnemed facial wash oily skin membersihkan wajah berminyak,acnemed,facial wash,,"membersihkan wajah berminyak, oily skin"
melanox white serum mencerahkan wajah membantu menyamarkan flek hitam,melanox,serum,,"white, mencerahkan wajah membantu menyamarkan flek hitam"
ms glow jerawat serum membantu merawat kulit,ms glow,serum,,"jerawat, membantu merawat kulit"
ms glow flawless gel pencerah pelembap,ms glow,gel,,"pencerah pelembap, flawless"
jf cleanser sabun antibakteri untuk gatal kulit,jf,"sabun, cleanser",,antibakteri untuk gatal kulit
