text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
sariayu hydraglow face serum,sariayu,face serum,,hydraglow,3,"Pelembap, Retinol, dan Perlindungan Kulit"
sariayu mawar cleansing milk,sariayu,,"mawar, milk",cleansing,,
erto expert spf 30 pa sunblock untuk semua jenis kulit,erto,sunblock,,"expert spf 30 pa, untuk semua jenis kulit",3,"Pelembap, Retinol, dan Perlindungan Kulit"
ertos eyebag dark circle serum mata perawatan treatment eye cream menghilangkan kantong,ertos,"cream, serum mata",,"eyebag dark circle, menghilangkan kantong, perawatan treatment eye",3,"Pelembap, Retinol, dan Perlindungan Kulit"
erto glowing gel mencerahkan brightening untuk kulit normal berminyak kering,erto,gel,,"glowing, mencerahkan brightening untuk kulit normal berminyak kering",,
erto glowing facial toner untuk kulit kering brightening hydrating,erto,toner,,"glowing facial, untuk kulit kering brightening hydrating",5,Brightening dengan Bahan Aktif
physiogel moisturizer cleanser,physiogel,"cleanser, moisturizer",,,,
clinelle skin smoothing scrub mask exfoliating wajah,clinelle,scrub mask,,"exfoliating wajah, skin smoothing",,
erto men serum siang niacinamide centella brigtening white,erto men,serum,niacinamide centella,"brigtening white, siang",5,Brightening dengan Bahan Aktif
erto niacinamide serum mencerahkan noda hitam melembabkan meratakan warna kulit,erto,serum,niacinamide,mencerahkan noda hitam melembabkan meratakan warna kulit,1,Skincare Anti-Aging dan Brightening
retinol serum untuk kulit berminyak glowing brightening vitamin anti - aging samarkan garis halus flek hitam,,serum,"retinol, vitamin","anti - aging samarkan garis halus flek hitam, untuk kulit berminyak glowing brightening",,
sariayu moisturizer,sariayu,moisturizer,,,1,Skincare Anti-Aging dan Brightening
clinelle whitenup brightening spot essence,clinelle,essence,,whitenup brightening spot,4,Hidrasi dan Perawatan Kulit Sensitif
l oreal shampoo,l oreal,shampoo,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
erto facial treatment sabun cuci wajah,erto,sabun cuci wajah,,facial treatment,1,Skincare Anti-Aging dan Brightening
kelly lemon soap,kelly,soap,lemon,,5,Brightening dengan Bahan Aktif
westcare rose hydrating toner,westcare,toner,rose,hydrating,,
sariayu mawar cleansing milk,sariayu,,"mawar, milk",cleansing,,
westcare glowing moisturizer,westcare,moisturizer,,glowing,,
astaderm cream pelembab kulit antioksidan,astaderm,cream pelembab kulit,,antioksidan,,
astaderm cream pelembab kulit antioksidan,astaderm,cream pelembab kulit,,antioksidan,,
ertos jerawat expert facial toner untuk kulit berminyak prone skin oil control anti inflamasi,ertos,toner,,"jerawat expert facial, untuk kulit berminyak prone skin oil control anti inflamasi",,
erto eyelash serum bulu mata,erto,"bulu mata, eyelash serum",,,5,Brightening dengan Bahan Aktif
ertos glowing kulit mencerahkan,ertos,,,"glowing, kulit mencerahkan",,
dayman facial wash scrub extra cooling,dayman,facial wash scrub,,extra cooling,,
erto astaxanthine cream siang mencerahkan glowing untuk kulit normal kering white moisturizer anti flek hitam,erto,"cream, moisturizer",astaxanthine,"anti flek hitam, siang mencerahkan glowing untuk kulit normal kering white",,
physiogel moisturizer cleanser,physiogel,"cleanser, moisturizer",,,,
westcare brightening face wash,westcare,face wash,,brightening,,
erto glowing brightening white facial wash toner cream mencerahkan kulit wajah,erto,facial wash toner cream,,"brightening white, glowing, mencerahkan kulit wajah",5,Brightening dengan Bahan Aktif
erto glowing facial wash sabun cuci wajah cleanser ph balance untuk kulit normal kering brightening anti - aging hydrating mencerahkan,erto,"facial wash, sabun cuci wajah cleanser",,"glowing, ph balance untuk kulit normal kering brightening anti - aging hydrating mencerahkan",,
sariayu spf 30 pa tone up sunscreen serum,sariayu,tone up sunscreen serum,,spf 30 pa,5,Brightening dengan Bahan Aktif
erto glowing night cream malam mencerahkan brightening white untuk kulit kering,erto,cream,,"glowing night, malam mencerahkan brightening white untuk kulit kering",,
sariayu refreshing toner,sariayu,toner,,refreshing,,
klinsen facial exfoliating,klinsen,,,facial exfoliating,1,Skincare Anti-Aging dan Brightening
biokos nutrition nutrient cleanser,biokos,cleanser,nutrition nutrient,,,
mederma gel,mederma,gel,,,,
sariayu age defense gel facial foam,sariayu,gel facial foam,,age defense,2,Pembersih Wajah dan Perawatan Jerawat
dewi sri spa rose body mist,dewi sri spa,body mist,rose,,,
biokos probiotic moisturizer cream gel,biokos,moisturizer cream gel,probiotic,,5,Brightening dengan Bahan Aktif
sariayu bright skin putih langsat moisturizer,sariayu,moisturizer,,bright skin putih langsat,,
biokos pure balance oil control toner,biokos,toner,,pure balance oil control,5,Brightening dengan Bahan Aktif
kahf face wash,kahf,face wash,,,,
renewage face wash,,face wash,,renewage,3,"Pelembap, Retinol, dan Perlindungan Kulit"
biokos nutrition facial foam,biokos,facial foam,nutrition,,5,Brightening dengan Bahan Aktif
autan refresh,autan refresh,,,,5,Brightening dengan Bahan Aktif
biokos age revitalize day cream spf30,biokos,cream,,"age revitalize day, spf30",3,"Pelembap, Retinol, dan Perlindungan Kulit"
biokos age renew anti wrinkle revitalizing serum,biokos,serum,,age renew anti wrinkle revitalizing,2,Pembersih Wajah dan Perawatan Jerawat
biokos daily protection sunscreen spray spf 50 vitamin c,biokos,sunscreen spray,vitamin c,"daily protection, spf 50",3,"Pelembap, Retinol, dan Perlindungan Kulit"
renewage face scrub,,face scrub,,renewage,3,"Pelembap, Retinol, dan Perlindungan Kulit"
happy green rosehip seed oil minyak biji,happy green,,rosehip seed oil minyak biji,,,
fabil facial foam back young skin barrier cream melembabkan membersihkan wajah secara menyeluruh mencerahkan,fabil,"cream, facial foam",,"back young skin barrier, melembabkan membersihkan wajah secara menyeluruh, mencerahkan",5,Brightening dengan Bahan Aktif
happy green almond oil,happy green,,almond oil,,,
happy green maracuja oil minyak biji markisa,happy green,,maracuja oil minyak biji markisa,,,
papain enzyme facial cleanser sabun cuci wajah pencerah jerawat pepaya bright mencerahkan,papain enzyme,"facial cleanser, sabun cuci wajah",pepaya,"bright, mencerahkan, pencerah jerawat",1,Skincare Anti-Aging dan Brightening
happy green black castor oil minyak hitam usda,happy green,,black castor oil minyak hitam usda,,5,Brightening dengan Bahan Aktif
cerave foaming cleanser ceramide face wash oily skin,cerave,"face wash, foaming cleanser",ceramide,oily skin,4,Hidrasi dan Perawatan Kulit Sensitif
er 1 anti - aging intensive night cream aha txa aloe vera,er 1,cream,aha txa aloe vera,anti - aging intensive night,3,"Pelembap, Retinol, dan Perlindungan Kulit"
pure almond oil serum wajah,pure,serum wajah,almond oil,,,
pure olive oil serum wajah,pure,serum wajah,olive oil,,,
sulwhasoo ginseng rejuvenating ampoule perawatan wajah ampul anti - aging regenerating strengthening essence,sulwhasoo,essence,ginseng,"perawatan wajah ampul anti - aging regenerating strengthening, rejuvenating ampoule",5,Brightening dengan Bahan Aktif
cerave hydrating cleanser moisturizing cream,cerave,"cleanser, cream",,"hydrating, moisturizing",2,Pembersih Wajah dan Perawatan Jerawat
er pure bright brightening pencerah serum night cream sunscreen facial wash cleanser toner,er,"cream, serum, sunscreen facial wash cleanser toner",,"brightening pencerah, night, pure bright",,
sulwhasoo cleansing cleanser wajah anti - aging facial,sulwhasoo,cleanser,,"cleansing, wajah anti - aging facial",,
cerave moisturising cream pump ceramide normal dry,cerave,cream pump,ceramide,"moisturising, normal dry",4,Hidrasi dan Perawatan Kulit Sensitif
sulwhasoo ginseng rejuvenating cream rich moisturizer wajah pelembap anti - aging hydrating,sulwhasoo,cream rich moisturizer wajah pelembap,ginseng,"anti - aging hydrating, rejuvenating",3,"Pelembap, Retinol, dan Perlindungan Kulit"
sulwhasoo ginseng brightening serum anti - aging wajah mencerahkan menenangkan kulit niacinamide essence pencerah,sulwhasoo,"essence, serum","ginseng, niacinamide","anti - aging wajah mencerahkan menenangkan kulit, brightening, pencerah",5,Brightening dengan Bahan Aktif
happy green tamanu oil,happy green,,tamanu oil,,2,Pembersih Wajah dan Perawatan Jerawat
r1 kit cakep face wash calming essence toner refining bright serum uv watery shield sunscreen reviving midnight care,r1 kit cakep,"essence toner, face wash, serum, sunscreen",,"calming, refining bright, reviving midnight care, uv watery shield",2,Pembersih Wajah dan Perawatan Jerawat
happy green argan oil,happy green,,argan oil,,,
happy green babassu oil,happy green,,babassu oil,,1,Skincare Anti-Aging dan Brightening
sulwhasoo first activating serum 6th anti - aging essence boosting perawatan wajah strengthen skin barrier ginseng,sulwhasoo,"essence, serum",ginseng,"6th anti - aging, activating, boosting perawatan wajah strengthen skin barrier, first",,
cerave normal to oily essential foaming cleanser moisturising lotion hydrating,cerave,"essential, foaming cleanser, lotion",,"hydrating, moisturising, normal to oily",1,Skincare Anti-Aging dan Brightening
er 1 brightening skin pencerah glowing day cream night toner wajah serum sunscreen facial cleanser,er 1,"cream, toner wajah serum sunscreen facial cleanser",,"brightening skin, night, pencerah glowing day",1,Skincare Anti-Aging dan Brightening
sulwhasoo white ginseng radiance refining mask scrub exfoliating mencerahkan perawatan wajah anti - aging,sulwhasoo,mask scrub,ginseng,"exfoliating mencerahkan perawatan wajah anti - aging, radiance refining, white",4,Hidrasi dan Perawatan Kulit Sensitif
fabil basic hydration prep hydrasoothe barrier toner facial foam pelembap wajah mengatasi kemerahan iritasi kulit secara cepat cleanser yang tidak menimbulkan efek ketarik,fabil,"cleanser, toner facial foam",,"basic hydration prep hydrasoothe barrier, pelembap wajah mengatasi kemerahan iritasi kulit secara cepat, yang tidak menimbulkan efek ketarik",,
er daily calming soothing toner chamomile aha,er,toner,chamomile aha,daily calming soothing,5,Brightening dengan Bahan Aktif
cerave resurfacing retinol serum jerawat prone skin,cerave,serum,retinol,"jerawat prone skin, resurfacing",,
papain facial wash cleanser bright jerawat face sabun cuci wajah pepaya pencerah berminyak,papain,"cleanser, facial wash, sabun cuci wajah",pepaya,"bright jerawat face, pencerah berminyak",5,Brightening dengan Bahan Aktif
happy green lavender,happy green,,lavender,,,
r1 mencerahkan tuntas,r1,,,mencerahkan tuntas,2,Pembersih Wajah dan Perawatan Jerawat
er 1 pure bright sunscreen niacinamide spf panthenol day cream uv matahari white dark spot pelembab,er 1,"cream, pelembab, sunscreen","niacinamide, panthenol","day, pure bright, spf, uv matahari white dark spot",3,"Pelembap, Retinol, dan Perlindungan Kulit"
sulwhasoo ginseng rejuvenating cream anti - aging moisturizer wajah peptides,sulwhasoo,"cream, moisturizer wajah","ginseng, peptides","anti - aging, rejuvenating",,
cerave daily moisturizing cream hydrating cleanser,cerave,"cleanser, cream",,"daily moisturizing, hydrating",5,Brightening dengan Bahan Aktif
papain facial wash cleanser bright and jerawat face sabun cuci wajah pepaya pencerah,papain,"facial wash cleanser, sabun cuci wajah",pepaya,"bright and jerawat face, pencerah",,
papain facial wash cleanser bright jerawat face sabun cuci wajah pepaya pencerah berminyak,papain,"cleanser, facial wash, sabun cuci wajah",pepaya,"bright jerawat face, pencerah berminyak",1,Skincare Anti-Aging dan Brightening
cerave foaming cleanser,cerave,foaming cleanser,,,,
r1 calming essence toner wajah pria,r1,"essence toner, pria",,"calming, wajah",,
essenli face and hair oil serum pelembab wajah,essenli,"face and hair oil serum, pelembab wajah",,,1,Skincare Anti-Aging dan Brightening
fabil moringa sunscreen mist spf 45 pa spray melembabkan melindungi dari sinar uv halus tidak pedih mata mudah diserap tanpa alkohol,fabil,"spray, sunscreen mist",moringa,"halus tidak pedih mata, melembabkan melindungi dari sinar uv, mudah diserap tanpa alkohol, spf 45 pa",1,Skincare Anti-Aging dan Brightening
fabil bakuchiol nephelium revitalizing serum mengurangi garis halus kerutan memperbaiki tekstur kulit retinol moringa cica alpha arbutin,fabil,serum,"bakuchiol nephelium, cica alpha arbutin, moringa, retinol","memperbaiki tekstur kulit, mengurangi garis halus kerutan, revitalizing",3,"Pelembap, Retinol, dan Perlindungan Kulit"
r1 bersih tuntas face wash calming essence toner,r1,"essence toner, face wash",,"bersih tuntas, calming",,
happy green rosehip seed oil minyak biji,happy green,,rosehip seed oil minyak biji,,1,Skincare Anti-Aging dan Brightening
er 1 pure bright serum high anti oxidant alpha arbutin mencerahkan,er 1,serum,alpha arbutin,"high anti oxidant, mencerahkan, pure bright",5,Brightening dengan Bahan Aktif
pure grapeseed oil minyak biji anggur serum wajah,pure,serum wajah,grapeseed oil minyak biji anggur,,,
lume facial cleanser komedo wajah,lume,facial cleanser,,"komedo, wajah",,
er pure bright purifying toner lactic acid aha,er,toner,lactic acid aha,pure bright purifying,5,Brightening dengan Bahan Aktif
cerave moisturising cream ceramide moisturizer normal dry skin,cerave,"cream, moisturizer",ceramide,"moisturising, normal dry skin",,
dermapro cream pelembab kulit,dermapro,"cream, pelembab",,kulit,2,Pembersih Wajah dan Perawatan Jerawat
suu balm lotion pelembab tubuh untuk kulit kering sensitif rentan eksim aman ibu hamil menyusui ceramide lawan gatal no steroid cooling menthol,suu balm,lotion,ceramide,"aman ibu hamil menyusui, lawan gatal, no steroid cooling menthol, pelembab tubuh untuk kulit kering sensitif rentan eksim",1,Skincare Anti-Aging dan Brightening
er advanced anti - aging kerutan serum night cream day sunscreen facial wash cleanser toner,er,"cream, serum, sunscreen facial wash cleanser toner",,"advanced anti - aging, day, kerutan, night",2,Pembersih Wajah dan Perawatan Jerawat
hydrasoothe barrier toner infused serum pelembap wajah meredakan kemerahan mengatasi iritasi kulit,,toner infused serum,,"hydrasoothe barrier, pelembap wajah meredakan kemerahan mengatasi iritasi kulit",2,Pembersih Wajah dan Perawatan Jerawat
sulwhasoo uv daily essential sunscreen tabir surya semua jenis kulit,sulwhasoo,essential sunscreen tabir surya,,"semua jenis kulit, uv daily",2,Pembersih Wajah dan Perawatan Jerawat
happy green rose water damascena,happy green,,rose water damascena,,2,Pembersih Wajah dan Perawatan Jerawat
happy green jojoba oil,happy green,,jojoba oil,,2,Pembersih Wajah dan Perawatan Jerawat
sulwhasoo first activating serum 6th anti - aging essence boosting perawatan wajah strengthen skin barrier ginseng,sulwhasoo,"essence, serum",ginseng,"6th anti - aging, activating, boosting perawatan wajah strengthen skin barrier, first",,
r1 reviving midnight care cream malam wajah pria,r1,"cream, wajah",,"malam, pria, reviving midnight care",2,Pembersih Wajah dan Perawatan Jerawat
r1 pagi face wash uv watery shield sunscreen,r1,"face wash, sunscreen",,"pagi, uv watery shield",1,Skincare Anti-Aging dan Brightening
r1 face wash sabun wajah pria,r1,face wash sabun wajah pria,,,2,Pembersih Wajah dan Perawatan Jerawat
sulwhasoo uv daily tone up sunscreen tabir surya semua jenis kulit,sulwhasoo,tone up sunscreen tabir surya,,"semua jenis kulit, uv daily",,
er pure bright moisturizer night cream arbutin,er,"cream, moisturizer",arbutin,"night, pure bright",5,Brightening dengan Bahan Aktif
happy green rice bran oil bekatul,happy green,,rice bran oil bekatul,,5,Brightening dengan Bahan Aktif
sulwhasoo,sulwhasoo,,,,3,"Pelembap, Retinol, dan Perlindungan Kulit"
fabil niacinamide centella bright serum mencerahkan menghilangkan noda hitam meratakan warna kulit wajah tetap terhidrasi sepanjang hari sehat cica licorice,fabil,serum,"cica licorice, niacinamide centella","bright, mencerahkan menghilangkan noda hitam meratakan warna kulit wajah tetap terhidrasi sepanjang hari sehat",1,Skincare Anti-Aging dan Brightening
20 niacinamide rice glow booster serum mencerahkan menghilangkan noda hitam meratakan warna kulit wajah,20,serum,niacinamide rice,"glow booster, mencerahkan menghilangkan noda hitam meratakan warna kulit wajah",5,Brightening dengan Bahan Aktif
bdl soap sabun pepaya membersihkan,bdl,"sabun, soap",pepaya,membersihkan,4,Hidrasi dan Perawatan Kulit Sensitif
flacenta brightening soap pearl,flacenta,soap,pearl,brightening,3,"Pelembap, Retinol, dan Perlindungan Kulit"
